,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19860221,1.82,2,1.94,2.41,2.14,2.05,2.02,-0.28,-0.12,0.132
19860228,0.93,1.56,2.45,0.9,1.25,1.41,1.09,0.46,1.01,0.132
19860307,0.42,1.74,1.4,-0.26,0.25,-1.15,-0.19,1.57,0.05,0.149
19860314,2.57,2.42,2.22,5.08,3.94,4.42,4.03,-2.08,-0.51,0.149
19860321,0.48,0.79,0.76,-1.16,-0.66,-1.27,-0.9,1.71,0.09,0.149
19860327,0.36,0.21,0.51,2.34,2.25,2.47,1.8,-1.99,0.14,0.149
19860404,-1.26,-1.53,-1.35,-4.11,-3.79,-3.32,-3.5,2.36,0.35,0.13
19860411,2.28,1.43,1.51,3.98,2.6,2.17,2.68,-1.17,-1.29,0.13
19860418,3.24,2.93,2.09,3.43,2.61,1.85,2.65,0.12,-1.37,0.13
19860425,0.67,0.62,0.27,0.61,-0.57,-1.13,-0.27,0.88,-1.07,0.13
19860502,-2.41,-2,-2.05,-3.43,-2.71,-2.37,-2.94,0.69,0.71,0.123
19860509,1.09,2.01,1.73,0.9,2.04,1.59,1.36,0.1,0.67,0.123
19860516,-1.3,-0.63,-1.09,-1.7,-2.16,-1.59,-1.85,0.81,0.15,0.123
19860523,1.49,1.92,1.37,3.87,3.7,2.78,3.1,-1.86,-0.6,0.123
19860530,2.18,1.96,1.69,2.96,2.14,1.83,2.2,-0.37,-0.81,0.123
19860606,0.11,0.27,-0.28,-0.52,-0.79,-0.75,-0.7,0.72,-0.31,0.131
19860613,-0.15,0.02,-0.06,0.35,-0.03,0.07,-0.03,-0.19,-0.09,0.131
19860620,-1.53,-0.84,-0.78,0.02,0.43,1.41,0.07,-1.67,1.07,0.131
19860627,1.05,1.02,2.25,1.39,1.12,1.44,1.17,0.12,0.62,0.131
